dish_id,method,gt_mass_g,gt_calories,gt_fat_g,gt_carb_g,gt_protein_g,pred_mass_g,pred_calories,pred_fat_g,pred_carb_g,pred_protein_g,ae_mass_g,ae_calories,ae_fat_g,ae_carb_g,ae_protein_g,num_food_codes,food_codes,description,error
dish_1557862696,DietAI24,77.00,19.25,0.23,3.85,1.39,40.00,10.40,0.12,2.06,0.80,37.00,8.85,0.12,1.79,0.59,1,75214011,The image shows the food category of a steamed vegetable dish. The visible ingredients include cauliflower florets. The cooking method appears to be steaming or boiling as the cauliflower looks soft a,
dish_1558031351,DietAI24,41.00,12.30,0.04,3.12,0.25,90.00,27.00,0.14,6.79,0.55,49.00,14.70,0.09,3.68,0.30,1,63149010,"The image shows the food category of a fruit dish. The visible ingredients include several small pieces of watermelon. The cooking method appears to be none, as the watermelon is raw and fresh. Additi",
dish_1558110436,DietAI24,69.00,85.63,0.14,20.29,1.10,90.00,110.70,3.87,17.69,1.73,21.00,25.07,3.73,2.59,0.62,1,73403000,The image shows the food category of a vegetable side dish. The visible ingredients include pieces of cooked sweet potato with their skins on. The cooking method appears to be roasted or baked. Additi,
dish_1558113477,DietAI24,50.00,289.05,24.75,11.35,11.20,36.00,208.44,17.97,7.76,7.61,14.00,80.61,6.78,3.59,3.59,1,42101000,"The image shows the food category of a snack or nuts. The visible ingredients include whole almonds. The cooking method appears to be raw or possibly roasted (no clear indication of roasting, but no v",
dish_1558114086,DietAI24,143.00,74.36,0.29,0.43,20.02,200.00,122.00,0.30,29.60,0.34,57.00,47.64,0.01,29.17,19.68,1,63101000,"The image shows the food category of fruit. The visible ingredient is a whole apple. The cooking method appears to be raw/fresh, with no cooking involved. Additional details include the apple being pl",
dish_1558373008,DietAI24,73.00,251.56,19.93,3.07,14.09,56.00,155.12,0.52,35.78,1.85,17.00,96.44,19.41,32.72,12.24,1,62113100,The image shows the food category of a snack or dried fruit dish. The visible ingredients include several pieces of what appears to be dried figs or similarly shaped dried fruit. The cooking method ap,
dish_1558376734,DietAI24,60.00,206.76,16.38,2.52,11.58,40.00,98.00,0.88,21.18,1.27,20.00,108.76,15.50,18.66,10.31,1,42105000,The image shows the food category of a snack or nut-based item. The visible ingredients include several whole chestnuts or similar nuts on a white plate. The cooking method appears to be boiled or roa,
dish_1558376768,DietAI24,143.00,74.36,0.29,0.43,20.02,165.00,100.65,0.25,24.42,0.28,22.00,26.29,0.04,23.99,19.74,1,63101000,The image shows the food category of fruit. The visible ingredient is a whole apple. There is no cooking method apparent as the apple is raw. Additional details include that the apple is placed on a w,
dish_1558546434,DietAI24,11.00,2.53,0.04,0.40,0.32,20.00,5.40,0.12,0.48,0.57,9.00,2.87,0.08,0.09,0.25,1,72125100,The image shows the food category of a salad or leafy greens. The visible ingredients include fresh spinach leaves. The cooking method appears to be raw or uncooked. Additional details include no visi,
dish_1558630288,DietAI24,11.00,7.11,0.37,0.35,0.67,55.00,11.95,0.25,1.61,1.18,44.00,4.84,0.12,1.26,0.51,3,75113000;72125100;75113080,"The image shows the food category of a salad. The visible ingredients include mixed leafy greens such as lettuce and possibly spinach or arugula. The cooking method appears to be none, as the leaves a",
dish_1558630325,DietAI24,269.00,751.54,58.08,46.56,27.08,249.00,419.46,27.32,36.86,12.30,20.00,332.08,30.75,9.71,14.78,4,42101000;72125100;75113000;63101000,"The image shows the food category of a light snack or salad plate. The visible ingredients include raw almonds, mixed leafy greens (such as spinach and lettuce), and a whole apple. The cooking method ",
dish_1558635489,DietAI24,74.00,78.51,1.78,16.28,2.29,110.00,94.60,1.49,20.50,3.59,36.00,16.09,0.29,4.22,1.29,1,75216111,"The image shows the food category of a vegetable portion. The visible ingredients include two halves of corn on the cob. The cooking method appears to be boiled or steamed, as there are no visible sig",
dish_1558639526,DietAI24,78.00,31.98,0.16,7.80,0.70,90.00,38.70,0.23,8.98,0.87,12.00,6.72,0.07,1.18,0.17,1,99997310,The image shows the food category of a vegetable side dish. The visible ingredients include sliced cooked carrots. The cooking method appears to be steamed or boiled. Additional details include no vis,
dish_1558641287,DietAI24,64.00,11.52,0.13,2.50,0.58,480.00,96.00,1.49,19.39,3.94,416.00,84.48,1.36,16.90,3.36,1,74101000,The image shows the food category of fresh vegetables. The visible ingredients include cherry tomatoes. The cooking method appears to be raw/unprocessed. Additional details include that the tomatoes a,
dish_1559157919,DietAI24,39.00,37.09,3.33,1.52,0.99,82.00,99.88,8.24,4.85,3.54,43.00,62.79,4.91,3.33,2.55,5,72125100;75113080;72119190;63203010;42116000,"The image shows the food category of a salad. The visible ingredients include fresh spinach leaves, mixed greens (possibly arugula or baby kale), blueberries, and walnuts. The cooking method appears t",
dish_1559239256,DietAI24,128.00,60.16,0.13,15.36,1.15,120.00,60.00,0.17,14.14,1.10,8.00,0.16,0.04,1.22,0.05,1,61119010,The image shows the food category of fruit. The visible ingredient includes a single whole orange or tangerine placed on a white plate. There is no apparent cooking method since the fruit is raw and u,
dish_1560203400,DietAI24,104.00,293.28,12.48,33.28,12.48,268.00,870.92,56.69,49.68,39.57,164.00,577.64,44.21,16.40,27.09,4,58106560;14107010;89901050;25221250,"The image shows the food category of a pizza slice. The visible ingredients include pepperoni slices, melted cheese, tomato sauce, and a pizza dough crust. The cooking method appears to be baked. Addi",
dish_1560526514,DietAI24,224.00,183.25,8.40,26.03,3.42,285.00,189.45,4.79,34.94,3.65,61.00,6.20,3.61,8.91,0.23,7,72125100;75114000;63223020;63141010;71104130;42110110;43107000,"The image shows the food category of a mixed plate with salad and roasted potatoes. The visible ingredients include fresh spinach leaves, mixed salad greens (possibly including red leaf lettuce), stra",
dish_1560526552,DietAI24,319.00,359.24,21.78,28.02,14.59,440.00,496.50,26.39,47.70,19.49,121.00,137.26,4.61,19.68,4.90,5,32130480;71104200;75114000;53415400;63141010,"The image shows the food category of a mixed breakfast or brunch plate. The visible ingredients include scrambled eggs, mixed leafy greens with cherry tomatoes, pineapple chunks, and roasted or fried ",
dish_1560801797,DietAI24,96.00,25.66,0.70,4.11,1.34,80.00,60.10,2.37,9.09,1.43,16.00,34.44,1.67,4.98,0.08,3,99997535;73201020;71104070,"The image shows the food category of a vegetable plate or side dish. The visible ingredients include small pieces of cauliflower, a piece of cooked or roasted pumpkin, and what looks like a small piec",
